,time,temperature_2m,relative_humidity_2m,pressure_msl,wind_speed_10m,precipitation
315,2024-11-23T03:00,6.2,81,1015.5,18.7,0.0
316,2024-11-23T04:00,6.4,82,1014.7,20.4,0.0
317,2024-11-23T05:00,6.8,85,1013.8,21.3,0.0
318,2024-11-23T06:00,7.1,84,1012.8,23.6,0.0
319,2024-11-23T07:00,7.4,80,1012.0,25.2,0.0
320,2024-11-23T08:00,7.4,73,1011.8,24.3,0.0
321,2024-11-23T09:00,7.7,73,1011.4,23.7,0.0
322,2024-11-23T10:00,8.9,77,1010.8,25.2,0.0
323,2024-11-23T11:00,10.7,80,1010.5,28.1,0.0
324,2024-11-23T12:00,11.3,82,1009.3,26.6,0.0
325,2024-11-23T13:00,11.6,84,1008.9,28.2,0.1
326,2024-11-23T14:00,12.1,81,1008.7,28.1,0.1
327,2024-11-23T15:00,12.5,78,1008.1,27.7,0.0
328,2024-11-23T16:00,13.1,80,1007.5,29.3,0.1
329,2024-11-23T17:00,13.5,79,1007.3,28.6,0.1
330,2024-11-23T18:00,13.9,78,1007.3,27.8,0.1
331,2024-11-23T19:00,14.6,75,1007.2,29.5,0.0
332,2024-11-23T20:00,15.0,75,1007.6,27.6,0.0
333,2024-11-23T21:00,15.5,72,1007.7,26.1,0.0
334,2024-11-23T22:00,15.3,74,1007.5,24.9,0.0
335,2024-11-23T23:00,15.3,75,1007.3,24.8,0.0
336,2024-11-24T00:00,15.3,75,1007.2,24.6,0.0
337,2024-11-24T01:00,14.4,81,1006.8,23.5,0.0
338,2024-11-24T02:00,14.9,79,1006.4,24.3,0.0
339,2024-11-24T03:00,14.9,77,1005.9,25.2,0.0
340,2024-11-24T04:00,15.2,74,1005.4,26.0,0.0
341,2024-11-24T05:00,15.6,72,1005.2,27.7,0.0
342,2024-11-24T06:00,15.7,71,1004.9,30.5,0.0
343,2024-11-24T07:00,15.8,70,1005.0,30.9,0.0
344,2024-11-24T08:00,15.8,70,1005.9,30.7,0.0
345,2024-11-24T09:00,16.3,68,1005.7,33.6,0.0
346,2024-11-24T10:00,16.8,68,1005.5,35.5,0.0
347,2024-11-24T11:00,17.5,66,1005.1,35.9,0.0
348,2024-11-24T12:00,17.8,66,1004.4,35.5,0.0
349,2024-11-24T13:00,17.8,73,1003.7,22.2,0.0
350,2024-11-24T14:00,18.0,64,1002.7,32.9,0.0
351,2024-11-24T15:00,17.3,66,1002.2,32.3,0.0
352,2024-11-24T16:00,16.8,66,1001.8,32.3,0.0
353,2024-11-24T17:00,16.6,65,1001.3,34.3,0.1
354,2024-11-24T18:00,16.8,63,1000.4,33.7,0.2
355,2024-11-24T19:00,17.5,60,1000.4,35.9,0.0
356,2024-11-24T20:00,17.9,59,1000.3,33.7,0.0
357,2024-11-24T21:00,17.6,62,1000.6,29.6,0.0
358,2024-11-24T22:00,15.9,76,1000.7,31.1,1.0
359,2024-11-24T23:00,15.2,82,1000.7,29.1,0.6
360,2024-11-25T00:00,14.9,85,1000.5,30.4,1.0
361,2024-11-25T01:00,14.4,93,1000.1,24.2,0.7
362,2024-11-25T02:00,14.1,94,1000.1,19.2,1.2
363,2024-11-25T03:00,13.1,96,1001.0,14.1,1.8
364,2024-11-25T04:00,11.5,92,1001.9,13.1,1.3
365,2024-11-25T05:00,10.9,90,1002.0,7.5,0.2
366,2024-11-25T06:00,10.6,93,1002.6,5.8,0.0
